,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day37,11.0,65.0,61.0,5.0,44.0,51.0,8.0,5.0,3.0,0.0,5.0,2.0,2.0,5.0,1.0,3.0,4.0,2.0,52.0,48.0
Day38,18.0,38.0,88.0,14.0,37.0,45.0,14.0,3.0,6.0,6.0,3.0,1.0,1.0,4.0,3.0,5.0,2.0,0.0,57.0,43.0
Day39,38.0,25.0,65.0,58.0,27.0,54.0,31.0,7.0,5.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,47.0,53.0
Day40,13.0,45.0,58.0,7.0,76.0,62.0,6.0,2.0,2.0,2.0,2.0,0.0,5.0,7.0,4.0,3.0,1.0,2.0,39.0,61.0
Day41,16.0,52.0,70.0,11.0,53.0,78.0,11.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,1.0,8.0,7.0,3.0,49.0,51.0
Day42,48.0,25.0,73.0,40.0,27.0,47.0,52.0,2.0,3.0,0.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,53.0,47.0
Day43,17.0,49.0,86.0,5.0,51.0,56.0,6.0,55.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,7.0,3.0,44.0,56.0
Day44,42.0,27.0,64.0,58.0,28.0,57.0,39.0,3.0,51.0,1.0,6.0,4.0,2.0,2.0,7.0,1.0,2.0,5.0,46.0,54.0
Day45,17.0,47.0,86.0,7.0,48.0,53.0,7.0,1.0,0.0,42.0,2.0,3.0,2.0,4.0,1.0,5.0,2.0,3.0,52.0,48.0
Day46,47.0,20.0,70.0,36.0,22.0,46.0,49.0,3.0,4.0,3.0,45.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0,54.0,46.0
Day47,65.0,46.0,88.0,8.0,47.0,55.0,7.0,1.0,3.0,3.0,2.0,55.0,4.0,8.0,3.0,1.0,1.0,1.0,46.0,54.0
Day48,19.0,41.0,91.0,7.0,42.0,41.0,6.0,0.0,3.0,1.0,3.0,5.0,50.0,2.0,1.0,4.0,4.0,5.0,61.0,39.0
Day49,19.0,54.0,86.0,5.0,53.0,58.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,44.0,3.0,1.0,4.0,3.0,43.0,57.0
Day50,69.0,44.0,90.0,6.0,49.0,51.0,7.0,7.0,0.0,0.0,3.0,3.0,1.0,5.0,57.0,0.0,2.0,3.0,50.0,50.0
Day51,16.0,39.0,94.0,7.0,41.0,42.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,58.0,1.0,1.0,58.0,42.0
