,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day37,70.0,68.0,76.0,14.0,8.0,4.0,77.0,93.0,8.0,0.0,5.0,2.0,2.0,21.0,1.0,3.0,97.0,16.0,69.0,97.0
Day38,25.0,16.0,75.0,8.0,3.0,2.0,80.0,93.0,9.0,6.0,3.0,1.0,1.0,12.0,3.0,5.0,95.0,8.0,78.0,97.0
Day39,72.0,71.0,79.0,60.0,7.0,2.0,81.0,98.0,7.0,1.0,2.0,3.0,4.0,68.0,3.0,2.0,98.0,64.0,70.0,98.0
Day40,80.0,74.0,87.0,61.0,55.0,3.0,89.0,95.0,4.0,2.0,2.0,0.0,5.0,69.0,4.0,3.0,97.0,63.0,61.0,98.0
Day41,67.0,63.0,72.0,55.0,5.0,46.0,73.0,86.0,7.0,3.0,4.0,2.0,4.0,59.0,1.0,7.0,93.0,58.0,66.0,95.0
Day42,30.0,25.0,38.0,13.0,7.0,1.0,80.0,92.0,8.0,1.0,4.0,2.0,5.0,22.0,3.0,4.0,96.0,17.0,71.0,98.0
Day43,26.0,22.0,28.0,12.0,5.0,3.0,30.0,90.0,3.0,1.0,2.0,3.0,2.0,18.0,1.0,3.0,97.0,15.0,66.0,98.0
Day44,16.0,15.0,27.0,9.0,5.0,3.0,30.0,97.0,60.0,1.0,6.0,4.0,3.0,14.0,7.0,1.0,99.0,14.0,68.0,100.0
Day45,80.0,35.0,84.0,22.0,7.0,9.0,87.0,93.0,2.0,40.0,2.0,3.0,2.0,31.0,1.0,5.0,95.0,25.0,71.0,97.0
Day46,29.0,20.0,38.0,9.0,1.0,2.0,41.0,94.0,48.0,3.0,44.0,2.0,1.0,17.0,5.0,5.0,95.0,12.0,69.0,97.0
Day47,28.0,24.0,34.0,13.0,6.0,2.0,36.0,98.0,5.0,3.0,2.0,56.0,3.0,21.0,3.0,1.0,99.0,14.0,68.0,100.0
Day48,77.0,72.0,82.0,61.0,57.0,3.0,83.0,92.0,5.0,1.0,3.0,4.0,52.0,69.0,1.0,4.0,96.0,66.0,73.0,96.0
Day49,73.0,64.0,83.0,13.0,4.0,5.0,85.0,95.0,4.0,2.0,2.0,2.0,1.0,59.0,3.0,1.0,99.0,16.0,67.0,99.0
Day50,24.0,20.0,85.0,11.0,6.0,1.0,87.0,98.0,3.0,0.0,3.0,2.0,1.0,19.0,57.0,0.0,100.0,14.0,63.0,100.0
Day51,18.0,13.0,25.0,9.0,7.0,1.0,26.0,41.0,6.0,3.0,3.0,5.0,3.0,12.0,2.0,58.0,42.0,10.0,91.0,58.0
