,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day37,1.0,77.0,53.0,14.0,52.0,4.0,1.0,5.0,3.0,51.0,5.0,7.0,51.0,52.0,60.0,3.0,12.0,2.0,51.0,50.0
Day38,3.0,65.0,75.0,13.0,62.0,2.0,6.0,3.0,6.0,60.0,3.0,4.0,56.0,58.0,69.0,5.0,10.0,0.0,58.0,47.0
Day39,0.0,57.0,58.0,60.0,53.0,2.0,2.0,7.0,5.0,47.0,2.0,5.0,48.0,46.0,81.0,2.0,10.0,4.0,46.0,58.0
Day40,4.0,61.0,62.0,9.0,76.0,3.0,1.0,2.0,2.0,42.0,2.0,2.0,44.0,46.0,52.0,3.0,6.0,2.0,40.0,63.0
Day41,1.0,57.0,74.0,22.0,53.0,45.0,1.0,4.0,4.0,51.0,4.0,6.0,51.0,49.0,65.0,7.0,18.0,3.0,49.0,51.0
Day42,4.0,59.0,58.0,16.0,58.0,1.0,43.0,2.0,3.0,52.0,4.0,6.0,54.0,55.0,68.0,5.0,11.0,4.0,52.0,77.0
Day43,3.0,53.0,54.0,68.0,51.0,3.0,2.0,55.0,1.0,45.0,2.0,5.0,45.0,46.0,84.0,2.0,64.0,3.0,45.0,58.0
Day44,1.0,78.0,59.0,7.0,51.0,3.0,3.0,3.0,51.0,45.0,6.0,10.0,46.0,45.0,59.0,1.0,6.0,5.0,45.0,60.0
Day45,5.0,51.0,53.0,14.0,52.0,9.0,3.0,1.0,0.0,75.0,2.0,5.0,55.0,56.0,62.0,5.0,8.0,3.0,53.0,52.0
Day46,5.0,52.0,51.0,15.0,49.0,2.0,3.0,3.0,4.0,56.0,44.0,46.0,56.0,57.0,84.0,5.0,9.0,3.0,53.0,53.0
Day47,1.0,55.0,53.0,8.0,53.0,2.0,2.0,1.0,3.0,47.0,2.0,57.0,47.0,46.0,79.0,1.0,3.0,1.0,46.0,54.0
Day48,4.0,44.0,43.0,9.0,47.0,4.0,1.0,0.0,3.0,61.0,3.0,7.0,83.0,56.0,59.0,4.0,8.0,5.0,61.0,44.0
Day49,8.0,56.0,59.0,13.0,55.0,4.0,2.0,4.0,1.0,45.0,2.0,4.0,45.0,70.0,63.0,1.0,9.0,3.0,44.0,62.0
Day50,3.0,50.0,51.0,13.0,52.0,1.0,2.0,7.0,0.0,49.0,3.0,6.0,49.0,49.0,85.0,0.0,9.0,3.0,49.0,53.0
Day51,2.0,44.0,44.0,65.0,46.0,1.0,1.0,4.0,3.0,59.0,3.0,7.0,59.0,59.0,88.0,59.0,64.0,1.0,58.0,44.0
Day52,4.0,46.0,47.0,54.0,49.0,3.0,3.0,6.0,3.0,56.0,4.0,7.0,53.0,53.0,83.0,4.0,51.0,3.0,55.0,49.0
Day53,4.0,51.0,50.0,9.0,52.0,4.0,2.0,2.0,1.0,49.0,3.0,5.0,50.0,49.0,59.0,1.0,8.0,55.0,48.0,80.0
Day54,56.0,59.0,62.0,12.0,58.0,2.0,0.0,3.0,2.0,55.0,5.0,9.0,54.0,52.0,67.0,1.0,8.0,4.0,54.0,84.0
Day55,2.0,69.0,52.0,10.0,39.0,5.0,5.0,2.0,4.0,46.0,3.0,6.0,45.0,44.0,47.0,2.0,7.0,1.0,46.0,56.0
Day56,3.0,51.0,72.0,7.0,49.0,1.0,2.0,1.0,2.0,52.0,4.0,7.0,51.0,51.0,56.0,2.0,4.0,4.0,52.0,50.0
Day57,2.0,54.0,57.0,56.0,56.0,5.0,4.0,6.0,0.0,47.0,8.0,12.0,50.0,52.0,90.0,3.0,10.0,2.0,46.0,58.0
Day58,4.0,58.0,57.0,9.0,82.0,8.0,2.0,5.0,4.0,48.0,2.0,3.0,51.0,52.0,61.0,0.0,5.0,2.0,48.0,55.0
Day59,4.0,50.0,76.0,11.0,51.0,51.0,2.0,4.0,2.0,53.0,2.0,5.0,53.0,53.0,60.0,4.0,11.0,4.0,50.0,54.0
Day60,5.0,56.0,57.0,14.0,51.0,2.0,44.0,6.0,3.0,50.0,0.0,2.0,50.0,51.0,59.0,1.0,10.0,4.0,49.0,79.0
Day61,2.0,48.0,49.0,59.0,51.0,5.0,4.0,52.0,1.0,57.0,5.0,7.0,57.0,55.0,86.0,3.0,56.0,4.0,55.0,50.0
Day62,4.0,76.0,51.0,9.0,48.0,3.0,5.0,2.0,54.0,48.0,4.0,4.0,48.0,49.0,53.0,0.0,7.0,1.0,47.0,56.0
Day63,2.0,58.0,56.0,8.0,56.0,3.0,2.0,3.0,3.0,81.0,2.0,4.0,53.0,53.0,60.0,2.0,7.0,1.0,46.0,56.0
Day64,4.0,57.0,58.0,9.0,59.0,2.0,2.0,2.0,1.0,51.0,58.0,59.0,53.0,55.0,91.0,3.0,6.0,2.0,49.0,56.0
Day65,2.0,52.0,52.0,14.0,49.0,1.0,5.0,3.0,3.0,54.0,3.0,55.0,54.0,51.0,83.0,5.0,9.0,4.0,51.0,56.0
Day66,3.0,50.0,47.0,12.0,51.0,4.0,1.0,6.0,2.0,61.0,3.0,8.0,83.0,53.0,61.0,2.0,10.0,2.0,60.0,45.0
Day67,2.0,51.0,52.0,9.0,52.0,3.0,5.0,1.0,3.0,56.0,3.0,4.0,56.0,77.0,58.0,3.0,6.0,4.0,55.0,51.0
Day68,6.0,58.0,62.0,11.0,54.0,3.0,1.0,2.0,1.0,44.0,6.0,11.0,45.0,43.0,80.0,4.0,8.0,5.0,41.0,65.0
Day69,1.0,51.0,54.0,63.0,48.0,5.0,0.0,1.0,5.0,50.0,2.0,5.0,49.0,49.0,84.0,58.0,61.0,1.0,49.0,52.0
Day70,1.0,53.0,56.0,64.0,53.0,4.0,2.0,4.0,2.0,53.0,2.0,5.0,54.0,55.0,88.0,3.0,63.0,4.0,50.0,55.0
Day71,3.0,55.0,57.0,20.0,54.0,3.0,3.0,4.0,3.0,57.0,3.0,4.0,58.0,59.0,69.0,5.0,15.0,47.0,56.0,76.0
Day72,60.0,49.0,46.0,9.0,45.0,0.0,4.0,1.0,6.0,50.0,4.0,5.0,48.0,47.0,53.0,4.0,8.0,1.0,46.0,82.0
Day73,3.0,82.0,53.0,7.0,48.0,0.0,4.0,0.0,4.0,51.0,1.0,3.0,51.0,52.0,53.0,1.0,5.0,4.0,49.0,57.0
Day74,4.0,55.0,83.0,11.0,52.0,2.0,2.0,1.0,2.0,50.0,2.0,7.0,50.0,49.0,59.0,5.0,9.0,0.0,49.0,53.0
Day75,5.0,55.0,54.0,66.0,55.0,0.0,3.0,3.0,0.0,50.0,0.0,5.0,53.0,52.0,87.0,6.0,12.0,2.0,49.0,56.0
Day76,3.0,51.0,51.0,11.0,78.0,1.0,3.0,3.0,0.0,54.0,2.0,5.0,57.0,53.0,61.0,2.0,5.0,0.0,52.0,51.0
Day77,2.0,58.0,75.0,10.0,59.0,54.0,1.0,3.0,4.0,61.0,4.0,7.0,62.0,61.0,67.0,3.0,8.0,3.0,59.0,44.0
Day78,4.0,50.0,51.0,8.0,53.0,3.0,49.0,5.0,6.0,59.0,2.0,8.0,58.0,56.0,64.0,2.0,7.0,2.0,58.0,73.0
Day79,1.0,57.0,58.0,50.0,55.0,3.0,3.0,41.0,2.0,44.0,3.0,10.0,48.0,49.0,81.0,3.0,47.0,5.0,42.0,61.0
Day80,7.0,78.0,50.0,16.0,52.0,0.0,5.0,3.0,53.0,52.0,2.0,4.0,52.0,50.0,62.0,4.0,11.0,3.0,49.0,58.0
Day81,5.0,52.0,54.0,10.0,52.0,4.0,1.0,4.0,2.0,76.0,1.0,3.0,48.0,48.0,55.0,2.0,7.0,5.0,47.0,58.0
Day82,2.0,47.0,45.0,12.0,47.0,2.0,2.0,3.0,4.0,56.0,63.0,63.0,54.0,56.0,88.0,4.0,10.0,1.0,56.0,46.0
Day83,2.0,50.0,50.0,12.0,50.0,3.0,3.0,6.0,2.0,51.0,2.0,57.0,52.0,51.0,85.0,2.0,9.0,2.0,49.0,53.0
Day84,6.0,57.0,55.0,16.0,57.0,0.0,5.0,6.0,1.0,55.0,0.0,1.0,85.0,62.0,68.0,2.0,12.0,3.0,53.0,57.0
Day85,3.0,57.0,53.0,9.0,56.0,3.0,5.0,2.0,4.0,49.0,0.0,4.0,51.0,69.0,58.0,3.0,8.0,5.0,48.0,57.0
